ID,Label,MergedLabel,Location,Country,Region,Year
LC315647,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Japan,Japan,Asia,2014
LC756669,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Japan,Japan,Asia,2021
KU131570,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,UK,UnitedKingdom,Europe,2011
AY585229,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Paris,France,Europe,Unknown
LC654456,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Japan,Japan,Asia,2016
MF314143,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,USA,USA,America,2016
LC315649,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Japan,Japan,Asia,2016
AY903459,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Belgium,Belgium,Europe,2003
AY903460,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Belgium,Belgium,Europe,2004
OM386794,Human_coronavirus_OC43-human-Cluster_19,Human_coronavirus_OC43-human,Canada,Canada,America,Unknown
AY307021,Alphacoronavirus-Cluster_43,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY548235,Alphacoronavirus-Cluster_43,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP849472,Alphacoronavirus-Cluster_43,Alphacoronavirus,Italy,Italy,Europe,Unknown
AY426984,Alphacoronavirus-Cluster_43,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
FJ897753,Alphacoronavirus-Cluster_43,Alphacoronavirus,Malaysia,Malaysia,Asia,Unknown
DL470167,Alphacoronavirus-Cluster_85,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
GQ233036,Alphacoronavirus-Cluster_85,Alphacoronavirus,Malaysia,Malaysia,Asia,Unknown
X51718,Alphacoronavirus-Cluster_85,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
MW354911,Alphacoronavirus-Cluster_85,Alphacoronavirus,China,China,Asia,Unknown
AB105373,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
